bowler,bowler_id,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
AD Russell,546,-0.7304230808441226,3.9237389433420997,0.2964705882352941,1.1150442477876106,-0.502883608763927,8.686274509803923,0.32315112540192925,1.7478260869565216,-0.32493224932249376,7.675000000000001,0.46111111111111114,2.2133333333333334
AF Milne,32,0.1605633802816886,1.9090909090909083,0.3090909090909091,1.4166666666666667,-2.34406015037594,-35.22222222222222,0.26,1.0833333333333333,-1.7182750759878438,-15.0,0.4148936170212766,1.625
AG Murtaza,626,-0.8076235854675407,-8.4,0.13043478260869565,0.6,-0.0665663450473577,21.444444444444443,0.3227848101265823,1.9615384615384615,2.0769230769230766,-6.416666666666668,0.6025641025641025,9.4
AJ Finch,273,6.311688311688313,4.0,0.5714285714285714,2.0,-3.264406779661016,9.333333333333336,0.16666666666666666,0.7142857142857143,5.799999999999999,24.0,0.6666666666666666,2.0
AJ Tye,121,1.207230973224016,3.6574074074074083,0.27208480565371024,1.4,0.15050051471371262,1.375,0.2233502538071066,1.5172413793103448,0.733175300647547,11.824175824175823,0.4627659574468085,2.230769230769231
AL Menaria,42,-6.926086956521741,3.0,0.2,0.5,0.4461062403300682,13.625,0.35714285714285715,3.75,1.8816793893129766,-4.333333333333336,0.4375,3.0
AM Nayar,573,-1.5,6.0,0.16666666666666666,0.5,0.5090439276485785,0.6428571428571423,0.30092592592592593,2.03125,-2.4000000000000004,24.0,0.5,1.0
AM Salvi,160,-0.1363636363636367,-7.0,0.13333333333333333,1.0,0.13947163947163865,5.5625,0.4423076923076923,2.5555555555555554,-0.75,-44.44444444444444,0.46875,2.5
AN Ahmed,110,-1.1524399770845282,3.0763888888888893,0.26373626373626374,1.3333333333333333,0.11797562626946512,-16.91397849462366,0.29464285714285715,1.9411764705882353,-0.5720279720279722,-21.883333333333336,0.4846153846153846,2.423076923076923
AP Dole,468,4.5,6.0,0.3333333333333333,1.3333333333333333,0.6191723415400716,16.166666666666668,0.2608695652173913,2.0,-4.999999999999998,3.75,0.3333333333333333,1.0
